text,no_char,transformed_text
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",179,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff
"I'm back, lemme know when you're ready",38,back lem know readi
Don't necessarily expect it to be done before you get back though because I'm just now headin out,97,necessarili expect done get back though headin
Mmm so yummy babe ... Nice jolt to the suzy,43,mmm yummi babe nice jolt suzi
Where are you lover ? I need you ...,36,lover need
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,154,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705
IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,74,park next mini come today think
Yup,3,yup
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,85,anyway go shop co si done yet dun disturb u liao
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,51,luton 0125698789 ring ur around h
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,121,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698
Why you Dint come with us.,26,dint come us
Same. Wana plan a trip sometme then,35,wana plan trip sometm
"Not sure yet, still trying to get a hold of him",47,sure yet still tri get hold
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,159,ur rington servic chang 25 free credit go choos content stop txt club stop 87070 club4 po box1146 mk45 2wt
The evo. I just had to download flash. Jealous?,47,evo download flash jealou
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,133,rington club get uk singl chart mobil week choos top qualiti rington messag free charg
"Come to mu, we're sorting out our narcotics situation",53,come mu sort narcot situat
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",147,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,155,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info
"Usf I guess, might as well take 1 car",37,usf guess might well take 1 car
No objection. My bf not coming.,31,object bf come
Thanx...,8,thanx
Tell rob to mack his gf in the theater,38,tell rob mack gf theater
"Awesome, I'll see you in a bit",30,awesom see bit
Just sent it. So what type of food do you like?,47,sent type food like
All done? All handed in? Celebrations in full swing yet?,56,done hand celebr full swing yet
You got called a tool?,22,got call tool
\Wen u miss someone,19,u miss someon
Ok. I asked for money how far,29,ask money far
Okie...,7,oki
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",121,yeah think usual guy still pass last night get ahold anybodi let know throw
"K, I might come by tonight then if my class lets out early",58,k might come tonight class let earli
Ok..,4,ok
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,148,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",160,life mean lot love life love peopl life world call friend call world ge
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",152,dear shall mail street shall updat look edukkukaye raksha good one real sens
Hey you told your name to gautham ah?,37,hey told name gautham ah
Haf u found him? I feel so stupid da v cam was working.,55,haf u found feel stupid da v cam work
Oops. 4 got that bit.,21,oop 4 got bit
Are you this much buzy,22,much buzi
I accidentally deleted the message. Resend please.,50,accident delet messag resend pleas
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,159,custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 end c appli
Unless it's a situation where YOU GO GURL would be more appropriate,67,unless situat go gurl would appropri
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,153,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl
I cant pick the phone right now. Pls send a message,51,cant pick phone right pl send messag
Need a coffee run tomo?Can't believe it's that time of week already,67,need coffe run tomo ca believ time week alreadi
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",88,awesom rememb last time got somebodi high first time diesel v
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",157,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,91,oh way food fridg want go meal tonight
He is a womdarfull actor,24,womdarful actor
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",146,sm ac blind date 4u rodds1 aberdeen unit kingdom check http sm blind date send hide
Yup... From what i remb... I think should be can book... ,57,yup remb think book
Jos ask if u wana meet up?,26,jo ask u wana meet
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,71,lol ye friendship hang thread caus u wo buy stuff
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",138,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468
Where are the garage keys? They aren't on the bookshelf,55,garag key bookshelf
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,156,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",134,think ur smart win week weekli quiz text play 85222 cs winnersclub po box 84 m26 3uz
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,119,say give call friend got money definit buy end week
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",142,hi way u 2day normal way real ur uniqu hope know u 4 rest mylif hope u find wot lost
You made my day. Do have a great day too.,41,made day great day
K.k:)advance happy pongal.,26,advanc happi pongal
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",119,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
"Not really dude, have no friends i'm afraid :(",46,realli dude friend afraid
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,157,decemb mobil entitl updat latest colour camera mobil free call mobil updat co free 08002986906
"Coffee cake, i guess...",23,coffe cake guess
"Merry Christmas to you too babe, i love ya *kisses*",51,merri christma babe love ya kiss
Hey... Why dont we just go watch x men and have lunch... Haha ,62,hey dont go watch x men lunch haha
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,107,cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 pete x
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,157,would great guild could meet bristol road somewher get touch weekend plan take flight good week
No problem. How are you doing?,30,problem
Hi da:)how is the todays class?,31,hi da today class
"I'd say that's a good sign but, well, you know my track record at reading women",79,say good sign well know track record read women
"Cool, text me when you're parked",32,cool text park
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,86,read text sent meant joke read light
K.k:)apo k.good movie.,22,apo movi
Maybe i could get book out tomo then return it immediately ..? Or something.,76,mayb could get book tomo return immedi someth
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,128,call germani 1 penc per minut call fix line via access number 0844 861 85 prepay direct access
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,232,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,159,valentin day special win quiz take partner trip lifetim send go 83600 rcvd
